asdf_id,viirs_ntl_annual_v21_avg_masked.2012.mean,viirs_ntl_annual_v21_avg_masked.2013.mean,viirs_ntl_annual_v21_avg_masked.2014.mean,viirs_ntl_annual_v21_avg_masked.2015.mean,viirs_ntl_annual_v21_avg_masked.2016.mean,viirs_ntl_annual_v21_avg_masked.2017.mean,viirs_ntl_annual_v21_avg_masked.2018.mean,viirs_ntl_annual_v21_avg_masked.2019.mean,viirs_ntl_annual_v21_avg_masked.2020.mean,viirs_ntl_annual_v21_avg_masked.2021.mean,cru_ts_407_tmp_yearly_mean.2012.mean,cru_ts_407_tmp_yearly_mean.2013.mean,cru_ts_407_tmp_yearly_mean.2014.mean,cru_ts_407_tmp_yearly_mean.2015.mean,cru_ts_407_tmp_yearly_mean.2016.mean,cru_ts_407_tmp_yearly_mean.2017.mean,cru_ts_407_tmp_yearly_mean.2018.mean,cru_ts_407_tmp_yearly_mean.2019.mean,cru_ts_407_tmp_yearly_mean.2020.mean,cru_ts_407_tmp_yearly_mean.2021.mean,cru_ts_407_tmp_yearly_mean.2022.mean,oco2_v111r_xco2_yearly.2015.mean,oco2_v111r_xco2_yearly.2016.mean,oco2_v111r_xco2_yearly.2017.mean,oco2_v111r_xco2_yearly.2018.mean,oco2_v111r_xco2_yearly.2019.mean,oco2_v111r_xco2_yearly.2020.mean,oco2_v111r_xco2_yearly.2021.mean,oco2_v111r_xco2_yearly.2022.mean,oco2_v111r_xco2_yearly.2023.mean,Level,gqid,id,shapeGroup,shapeID,shapeISO,shapeName,shapeType
10,3.842271905,3.943968948,3.721660138,3.800802437,3.86131416,4.092879922,4.249580493,4.2320065,4.194532186,4.283460353,15.87259544,16.50844543,16.0520573,16.3727807,17.07288698,16.33482404,16.56790377,16.9565588,16.76874494,16.99100943,16.86647173,400.8755913,403.8439107,405.7316166,409.2874299,412.4251481,412.5167255,418.5120181,417.660609,420.0392111,ADM1,10,10,JPN,JPN-ADM1-47310658B63452999,JP-40,Fukuoka,ADM1
11,6.504041755,6.489571911,6.679006271,6.645385734,6.268440039,7.097764717,7.13453444,7.103270052,6.914076967,7.01050362,13.93475916,14.35051858,14.07903034,14.52486012,14.76349397,14.0025296,14.87010447,14.87686648,14.93634545,14.8391517,14.73525383,401.4903143,404.97621,407.8725747,410.071589,411.1470257,413.4873611,416.1106005,419.7396484,419.071619,ADM1,11,11,JPN,JPN-ADM1-47310658B8322453,JP-11,Saitama,ADM1
12,0.561153644,0.527112385,0.538021935,0.531521591,0.485097526,0.625462558,0.606010747,0.565108103,0.557652849,0.609941579,10.81429542,11.11380957,10.95788666,11.47363739,11.58216035,10.90339123,11.63948547,11.69871504,11.77469808,11.71271111,11.58109077,398.7298934,402.3175898,406.0534371,409.6947267,410.1062706,413.0716137,417.3841271,417.7911654,420.0144663,ADM1,12,12,JPN,JPN-ADM1-47310658B85464875,JP-07,Fukushima,ADM1
13,1.511251664,1.484496259,1.48474834,1.470053575,1.360519267,1.610289106,1.520346693,1.477288047,1.416930106,1.462013513,12.04044366,12.38180158,12.1820565,12.66158508,12.83398952,12.11721081,12.92548347,12.94073493,13.02326397,12.92761401,12.81550675,400.2251082,402.5537526,406.8521041,408.473418,409.5866699,414.1778512,416.6468416,418.2431722,418.4451579,ADM1,13,13,JPN,JPN-ADM1-47310658B81662238,JP-09,Tochigi,ADM1
14,0.953593294,0.854700139,0.728246306,0.596972763,0.702975268,0.833890722,0.848378923,0.804038855,0.651320365,0.679819048,9.484196138,9.642977445,9.630331697,10.34767648,9.967602902,9.536086813,10.05193673,10.25452543,10.40844463,10.41185722,10.42584475,398.9536823,401.3071163,406.8600708,406.7711383,411.6327567,411.0117804,414.6127722,416.0678646,420.3920296,ADM1,14,14,JPN,JPN-ADM1-47310658B81567137,JP-02,Aomori,ADM1
15,1.460111171,1.420918964,1.280266014,1.29426256,1.268850569,1.422477515,1.446366213,1.396799679,1.389326371,1.435126967,16.05666792,16.72599031,16.30071428,16.58892876,17.27513699,16.58983268,16.77838982,17.1923426,16.97598816,17.24317794,17.08148568,400.8855598,405.0730508,406.9797956,410.5880692,410.9743429,413.5206974,415.8225087,418.2868315,418.7640854,ADM1,15,15,JPN,JPN-ADM1-47310658B24321305,JP-41,Saga,ADM1
16,1.025101005,1.012615381,0.944620159,0.96586672,0.954705855,1.041701254,1.022731542,0.988802379,0.983015213,1.008915956,16.19324951,16.8758436,16.50526348,16.78415798,17.44054217,16.81802101,16.9422134,17.35239265,17.11988558,17.46960964,17.2357674,400.4345515,405.1126166,406.7402243,410.2885797,411.9739134,413.3842243,415.7738038,418.1574047,419.7148937,ADM1,16,16,JPN,JPN-ADM1-47310658B47198681,JP-42,Nagasaki,ADM1
17,0.398106544,0.417920165,0.397158775,0.392870892,0.385434447,0.434710909,0.415968734,0.403613693,0.408992275,0.417951276,15.33268352,15.94752938,15.48474283,15.8253656,16.57746679,15.75495927,16.03697741,16.41382827,16.26154331,16.4009742,16.33511107,401.2544831,403.7939822,404.5522656,409.7685511,410.7182154,412.952693,417.4290387,417.7806958,420.1264887,ADM1,17,17,JPN,JPN-ADM1-47310658B11292297,JP-45,Miyazaki,ADM1
18,0.827034496,0.853278354,0.798285105,0.808190088,0.788388562,0.858769592,0.854436597,0.846784879,0.845911449,0.855908457,15.19647429,15.82056863,15.35746661,15.68326075,16.42972392,15.63432451,15.89751336,16.28228662,16.11588581,16.29305525,16.19920424,400.230442,403.9085562,405.7830061,409.642188,412.0552896,413.4456329,417.5617205,418.0029438,418.7141251,ADM1,18,18,JPN,JPN-ADM1-47310658B22461645,JP-43,Kumamoto,ADM1
19,0.551831153,0.57693088,0.521254208,0.512884104,0.484696381,0.539274205,0.513064409,0.494257649,0.507480255,0.512424708,17.79926719,18.37539827,17.94655286,18.30740747,19.02452255,18.24091467,18.45052985,18.83094126,18.67639293,18.78018341,18.73417463,400.1493008,403.29692,407.3930278,409.8807067,412.5959751,413.1752947,415.5122864,417.5658766,419.8302778,ADM1,19,19,JPN,JPN-ADM1-47310658B14070723,JP-46,Kagoshima,ADM1
